transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0001,BILL-1216,2025-02-10,S1,Downtown,C007,Loyal,P225,Snacks,Potato Chips,2,2.26,UPI,0.0,In-store
TXN-2025-0002,BILL-1112,2025-01-03,S1,Downtown,C024,Regular,P358,Beverages,Orange Juice 1L,5,1.24,UPI,0.5,Online
TXN-2025-0003,BILL-1047,2025-01-29,S3,Suburban,C072,Regular,P316,Beverages,Orange Juice 1L,3,3.5,Credit Card,0.5,In-store
TXN-2025-0004,BILL-1282,2025-01-25,S1,Downtown,C092,New,P235,Personal Care,Shampoo 250ml,1,7.57,Credit Card,0.0,In-store
TXN-2025-0005,BILL-1119,2025-01-19,S3,Suburban,C159,New,P198,Personal Care,Shampoo 250ml,1,1.41,Credit Card,0.5,In-store
TXN-2025-0006,BILL-1036,2025-02-25,S1,Downtown,C098,New,P286,Snacks,Potato Chips,2,4.33,UPI,0.5,Online
TXN-2025-0007,BILL-1166,2025-02-08,S3,Suburban,C044,Loyal,P225,Personal Care,Shampoo 250ml,2,5.16,UPI,1.0,In-store
TXN-2025-0008,BILL-1202,2025-02-23,S1,Downtown,C059,Regular,P305,Snacks,Potato Chips,3,1.6,Cash,1.0,Online
TXN-2025-0009,BILL-1298,2025-02-26,S3,Suburban,C118,Regular,P171,Snacks,Potato Chips,2,7.7,UPI,1.0,Online
TXN-2025-0010,BILL-1216,2025-01-26,S2,Uptown,C057,Regular,P352,Personal Care,Shampoo 250ml,1,7.8,Cash,0.0,In-store
TXN-2025-0011,BILL-1274,2025-02-08,S1,Downtown,C099,New,P339,Personal Care,Shampoo 250ml,5,3.26,UPI,0.0,In-store
TXN-2025-0012,BILL-1256,2025-02-18,S2,Uptown,C197,Loyal,P157,Snacks,Potato Chips,3,4.91,Cash,2.0,Online
TXN-2025-0013,BILL-1276,2025-02-18,S1,Downtown,C130,Regular,P252,Personal Care,Shampoo 250ml,5,6.48,Credit Card,0.5,In-store
TXN-2025-0014,BILL-1029,2025-02-19,S3,Suburban,C001,Loyal,P350,Snacks,Potato Chips,1,2.01,Credit Card,1.0,In-store
